Name	Installed_Size	Depends_On	Full_Size	Used_By	Shared_Size	Relative_Size
libelf	2.8MiB	52	281.8MiB	300	9.7KiB	3.2MiB
colord-gtk-common	119.0KiB	96	511.1MiB	2	59.5KiB	3.2MiB
iproute2	2.8MiB	64	292.5MiB	3	949.3KiB	3.2MiB
haskell-network	1.7MiB	17	404.0MiB	13	131.4KiB	3.1MiB
haskell-socks	912.7KiB	20	411.9MiB	3	304.2KiB	3.1MiB
cava	78.9KiB	56	355.2MiB	0	0.0	3.1MiB
libxslt	2.8MiB	15	250.6MiB	38	75.7KiB	3.1MiB
gsfonts	3.1MiB	0	3.1MiB	5	636.0KiB	3.1MiB
haskell-memory	1.2MiB	18	409.4MiB	13	96.7KiB	3.1MiB
haskell-jira-wiki-markup	1.6MiB	17	403.9MiB	1	1.6MiB	3.1MiB
kbd	2.9MiB	22	222.4MiB	246	12.0KiB	3.1MiB
libpagemaker	2.1MiB	17	258.7MiB	2	1.0MiB	3.1MiB
libopenmpt	1.9MiB	103	386.6MiB	4	491.5KiB	3.1MiB
gawk	2.9MiB	11	200.8MiB	15	195.2KiB	3.0MiB
fzf	2.9MiB	9	198.9MiB	0	0.0	3.0MiB
wlroots	1.1MiB	117	659.0MiB	1	1.1MiB	3.0MiB
arpack	610.9KiB	53	351.4MiB	1	610.9KiB	3.0MiB
haskell-strict	1.1MiB	29	411.4MiB	12	90.9KiB	3.0MiB
python-cairosvg	345.1KiB	66	354.9MiB	1	345.1KiB	3.0MiB
haskell-haddock-library	1.5MiB	17	403.9MiB	1	1.5MiB	3.0MiB
rmlint	421.2KiB	59	340.0MiB	0	0.0	3.0MiB
fd	2.9MiB	6	186.1MiB	0	0.0	3.0MiB
ruby-rdoc	2.0MiB	21	223.3MiB	9	223.3KiB	3.0MiB
libtiff	2.8MiB	14	204.9MiB	259	11.1KiB	3.0MiB
libnice	1.8MiB	69	395.8MiB	2	915.2KiB	3.0MiB
tar	2.9MiB	9	81.6MiB	83	35.5KiB	3.0MiB
geoclue	1.3MiB	68	387.8MiB	11	123.7KiB	3.0MiB
zbar	794.3KiB	73	375.6MiB	2	397.1KiB	2.9MiB
lolcat	134.6KiB	34	227.7MiB	0	0.0	2.9MiB
mlt	2.8MiB	6	62.3MiB	1	2.8MiB	2.9MiB
pam	2.7MiB	21	219.5MiB	498	5.5KiB	2.9MiB
x11vnc	1.7MiB	74	323.6MiB	0	0.0	2.9MiB
libraw	2.5MiB	17	209.3MiB	4	646.3KiB	2.8MiB
libodfgen	1.8MiB	18	267.7MiB	2	932.7KiB	2.8MiB
haskell-unordered-containers	1.3MiB	19	404.2MiB	17	78.7KiB	2.8MiB
haskell-streaming-commons	1007.4KiB	25	408.9MiB	8	125.9KiB	2.8MiB
osinfo-db	2.8MiB	0	2.8MiB	3	953.1KiB	2.8MiB
libteam	1.1MiB	52	299.5MiB	2	553.0KiB	2.8MiB
haskell-iproute	1.1MiB	20	405.3MiB	3	383.1KiB	2.8MiB
