Name	Installed_Size	Depends_On	Full_Size	Used_By	Shared_Size	Relative_Size
alsa-ucm-conf	208.0KiB	0	208.0KiB	73	2.8KiB	208.0KiB
libxtst	112.1KiB	14	76.7MiB	136	844.1	205.2KiB
hexedit	49.6KiB	7	187.2MiB	0	0.0	204.7KiB
serd	162.0KiB	5	59.6MiB	18	9.0KiB	204.5KiB
libraw1394	160.9KiB	5	59.6MiB	27	6.0KiB	203.4KiB
libcddb	160.2KiB	5	59.6MiB	18	8.9KiB	202.7KiB
libmad	156.5KiB	5	59.6MiB	1	156.5KiB	199.0KiB
which	34.4KiB	9	196.1MiB	54	652.0	198.0KiB
libinih	45.5KiB	6	183.3MiB	21	2.2KiB	196.9KiB
modprobed-db	12.8KiB	15	207.7MiB	0	0.0	195.3KiB
faac	151.9KiB	5	59.6MiB	2	76.0KiB	194.4KiB
sunwait	42.3KiB	6	183.3MiB	0	0.0	193.7KiB
libnetfilter_conntrack	149.9KiB	7	59.7MiB	250	614.2	192.7KiB
libsynctex	147.0KiB	6	59.9MiB	6	24.5KiB	189.9KiB
cantarell-fonts	189.7KiB	0	189.7KiB	144	1.3KiB	189.7KiB
apg	146.6KiB	5	59.6MiB	1	146.6KiB	189.1KiB
libcbor	145.9KiB	5	59.6MiB	1	145.9KiB	188.4KiB
confuse	143.0KiB	5	59.6MiB	6	23.8KiB	185.5KiB
hiredis	142.3KiB	5	59.6MiB	1	142.3KiB	184.7KiB
libyaml	184.0KiB	0	184.0KiB	45	4.1KiB	184.0KiB
libxvmc	93.0KiB	12	76.1MiB	1	93.0KiB	183.4KiB
linux-firmware-whence	181.0KiB	0	181.0KiB	1	181.0KiB	181.0KiB
pipes.sh	16.8KiB	9	196.1MiB	0	0.0	180.4KiB
vte-common	16.7KiB	9	196.1MiB	5	3.3KiB	180.3KiB
xbitmaps	179.3KiB	0	179.3KiB	1	179.3KiB	179.3KiB
alsa-card-profiles	178.1KiB	0	178.1KiB	13	13.7KiB	178.1KiB
libx86emu	177.0KiB	0	177.0KiB	2	88.5KiB	177.0KiB
xorg-xauth	55.9KiB	17	80.0MiB	4	14.0KiB	176.5KiB
libaec	134.0KiB	5	59.6MiB	2	67.0KiB	176.4KiB
rnnoise	132.9KiB	5	59.6MiB	2	66.4KiB	175.4KiB
xorg-xinput	63.8KiB	17	76.8MiB	1	63.8KiB	175.1KiB
libvterm	131.4KiB	5	59.6MiB	1	131.4KiB	173.9KiB
libxdmcp	130.0KiB	5	59.6MiB	371	358.9	172.5KiB
msgpack-c	128.5KiB	5	59.6MiB	1	128.5KiB	171.0KiB
libxrender	77.6KiB	11	75.8MiB	258	307.8	167.0KiB
libavc1394	118.3KiB	6	59.7MiB	24	4.9KiB	166.7KiB
libiec61883	118.0KiB	6	59.7MiB	24	4.9KiB	166.5KiB
libid3tag	123.1KiB	6	59.9MiB	12	10.3KiB	166.0KiB
libcap-ng	123.0KiB	5	59.6MiB	500	252.0	165.5KiB
xinit-xsession	224.0	9	196.1MiB	0	0.0	163.8KiB
libtommath	120.3KiB	5	59.6MiB	2	60.2KiB	162.8KiB
libcerf	119.4KiB	5	59.6MiB	1	119.4KiB	161.9KiB
libxrandr	71.1KiB	13	76.2MiB	150	485.6	161.9KiB
xorg-xrdb	40.7KiB	17	80.0MiB	2	20.3KiB	161.3KiB
xorg-xrandr	69.4KiB	14	76.3MiB	4	17.4KiB	160.7KiB
xorg-xset	39.8KiB	17	80.0MiB	54	754.3	160.4KiB
a52dec	114.4KiB	5	59.6MiB	1	114.4KiB	156.8KiB
xclip	34.4KiB	17	80.0MiB	0	0.0	155.0KiB
argon2	109.7KiB	5	59.6MiB	249	451.0	152.1KiB
libxcursor	61.0KiB	13	75.9MiB	157	398.2	151.0KiB
startup-notification	60.9KiB	12	75.8MiB	9	6.8KiB	150.9KiB
libxv	59.9KiB	12	76.1MiB	60	1022.8	150.4KiB
xorg-xprop	55.9KiB	11	75.8MiB	55	1.0KiB	145.4KiB
luit	70.4KiB	8	60.5MiB	1	70.4KiB	145.1KiB
gsm	102.0KiB	5	59.5MiB	19	5.4KiB	144.5KiB
xorg-xhost	23.6KiB	17	79.9MiB	0	0.0	144.2KiB
xorg-xsetroot	21.1KiB	20	80.1MiB	1	21.1KiB	142.5KiB
libmpcdec	97.8KiB	5	59.5MiB	3	32.6KiB	140.3KiB
xorg-xmodmap	49.1KiB	11	75.8MiB	2	24.5KiB	138.6KiB
libffi	94.4KiB	5	59.5MiB	867	111.5	136.8KiB
libldac	93.4KiB	5	59.5MiB	15	6.2KiB	135.8KiB
xorg-xwd	38.1KiB	12	76.0MiB	0	0.0	133.3KiB
libmd	89.1KiB	5	59.5MiB	6	14.8KiB	131.5KiB
sysfsutils	88.4KiB	5	59.5MiB	29	3.0KiB	130.9KiB
libxfixes	41.0KiB	11	75.8MiB	244	172.2	130.5KiB
libcpufeatures-git	87.7KiB	5	59.5MiB	1	87.7KiB	130.1KiB
xsel	40.3KiB	11	75.8MiB	0	0.0	129.7KiB
liburing	87.1KiB	5	59.5MiB	2	43.5KiB	129.5KiB
minizip	85.7KiB	6	59.9MiB	5	17.1KiB	128.5KiB
tree	85.5KiB	5	59.5MiB	1	85.5KiB	128.0KiB
xorg-xdpyinfo	33.0KiB	19	76.9MiB	2	16.5KiB	127.8KiB
libtar	83.3KiB	6	59.9MiB	1	83.3KiB	126.2KiB
libxxf86vm	35.1KiB	12	76.1MiB	221	162.4	125.5KiB
xorg-setxkbmap	29.1KiB	12	76.0MiB	17	1.7KiB	124.2KiB
xorg-xev	32.5KiB	14	76.2MiB	0	0.0	123.8KiB
libieee1284	122.8KiB	0	122.8KiB	3	40.9KiB	122.8KiB
perl-io-tty	79.5KiB	5	59.5MiB	3	26.5KiB	122.0KiB
libmms	77.3KiB	5	59.5MiB	2	38.6KiB	119.7KiB
peg	117.0KiB	0	117.0KiB	1	117.0KiB	117.0KiB
libxss	26.1KiB	12	76.1MiB	13	2.0KiB	116.6KiB
libxinerama	24.3KiB	12	76.1MiB	149	166.8	114.7KiB
libpipeline	71.9KiB	5	59.5MiB	2	35.9KiB	114.4KiB
libxcomposite	23.7KiB	12	75.8MiB	144	168.2	113.3KiB
libfontenc	39.4KiB	7	60.4MiB	20	2.0KiB	112.1KiB
libdatrie	69.1KiB	5	59.5MiB	178	397.8	111.6KiB
xorg-xvinfo	19.6KiB	13	76.1MiB	0	0.0	111.0KiB
slock	19.7KiB	14	76.2MiB	0	0.0	110.9KiB
libxres	19.9KiB	12	76.1MiB	3	6.6KiB	110.3KiB
xcb-util-image	52.8KiB	10	64.2MiB	56	965.2	108.8KiB
mailcap	108.7KiB	0	108.7KiB	1	108.7KiB	108.7KiB
xprintidle	14.7KiB	13	76.1MiB	1	14.7KiB	107.1KiB
lib32-attr	21.5KiB	7	78.4MiB	448	49.1	107.1KiB
libxdamage	17.2KiB	12	75.8MiB	229	77.0	106.9KiB
xcb-util-errors	49.5KiB	9	64.2MiB	3	16.5KiB	105.0KiB
libpciaccess	61.7KiB	5	59.5MiB	235	269.1	104.2KiB
http-parser	61.6KiB	5	59.5MiB	4	15.4KiB	104.0KiB
libfreeaptx	60.1KiB	5	59.5MiB	15	4.0KiB	102.6KiB
libndp	56.7KiB	5	59.5MiB	2	28.3KiB	99.2KiB
xcb-util	38.2KiB	9	64.2MiB	70	558.4	93.7KiB
xcb-util-xrm	37.4KiB	10	64.2MiB	4	9.4KiB	93.4KiB
mtdev	50.9KiB	5	59.5MiB	71	734.8	93.4KiB
libcue	50.3KiB	5	59.5MiB	2	25.2KiB	92.8KiB
libavtp	49.3KiB	5	59.5MiB	2	24.6KiB	91.8KiB
xcb-util-renderutil	36.0KiB	9	64.2MiB	57	645.8	91.4KiB
xcb-util-cursor	32.6KiB	12	64.3MiB	11	3.0KiB	90.2KiB
libasyncns	47.6KiB	5	59.5MiB	65	750.2	90.1KiB
libebur128	46.2KiB	5	59.5MiB	2	23.1KiB	88.6KiB
hidapi	86.9KiB	0	86.9KiB	26	3.3KiB	86.9KiB
run-parts	43.6KiB	5	59.5MiB	11	4.0KiB	86.1KiB
iniparser	42.4KiB	5	59.5MiB	24	1.8KiB	84.9KiB
xcb-util-keysyms	29.3KiB	9	64.2MiB	50	600.2	84.8KiB
libnfnetlink	42.2KiB	5	59.5MiB	251	172.0	84.6KiB
libdvdcss	38.7KiB	5	59.5MiB	0	0.0	81.2KiB
libmicrodns	36.2KiB	5	59.5MiB	2	18.1KiB	78.7KiB
libxcvt	35.5KiB	5	59.5MiB	13	2.7KiB	78.0KiB
libmnl	33.9KiB	5	59.5MiB	253	137.1	76.3KiB
libutempter	30.7KiB	5	59.5MiB	4	7.7KiB	73.2KiB
xorg-xbacklight	16.1KiB	10	64.2MiB	0	0.0	72.1KiB
libxdg-basedir	29.1KiB	5	59.5MiB	2	14.5KiB	71.5KiB
libxau	21.2KiB	5	59.5MiB	372	58.5	63.7KiB
termcap	61.9KiB	0	61.9KiB	0	0.0	61.9KiB
libxshmfence	16.6KiB	5	59.5MiB	219	77.7	59.1KiB
libdaemon	58.3KiB	0	58.3KiB	197	302.8	58.3KiB
hicolor-icon-theme	54.2KiB	0	54.2KiB	177	313.6	54.2KiB
libguess	37.2KiB	0	37.2KiB	1	37.2KiB	37.2KiB
python-apipkg	33.6KiB	0	33.6KiB	2	16.8KiB	33.6KiB
brother-mfc8860dn-cups-bin	33.5KiB	0	33.5KiB	0	0.0	33.5KiB
libspiro	32.8KiB	0	32.8KiB	4	8.2KiB	32.8KiB
filesystem	21.2KiB	1	3.9MiB	1434	15.1	24.0KiB
libaio	22.0KiB	0	22.0KiB	25	899.6	22.0KiB
python-iniconfig	20.2KiB	0	20.2KiB	2	10.1KiB	20.2KiB
lostfiles	8.4KiB	0	8.4KiB	0	0.0	8.4KiB
fet.sh-git	7.7KiB	0	7.7KiB	0	0.0	7.7KiB
xorg-fonts-alias-misc	6.5KiB	0	6.5KiB	1	6.5KiB	6.5KiB
pambase	2.7KiB	0	2.7KiB	499	5.5	2.7KiB
dnssec-anchors	809.0	0	809.0	46	17.6	809.0
fuse-common	694.0	0	694.0	26	26.7	694.0
java-environment-common	0.0	0	0.0	5	0.0	0.0
